Ticker,Last price,Fair value,Delta %
APA,22.489999771118164,277.4886406360051,1133.8312292575395
APTV,66.41000366210938,217.36274058556052,227.30421412335824
ACGL,90.16000366210938,308.38947338297555,242.04687317751214
BALL,49.33000183105469,80.74339027872658,63.68008773901208
BLDR,152.5,5558.664169892419,3545.0256851753566
COF,197.61500549316406,521.3733629137956,163.83288132025535
CAH,126.8550033569336,198.56046794179358,56.52553126588265
CE,68.30999755859375,143.87407843257137,110.61935818276321
CNC,56.810001373291016,208.74877992765292,267.45075670037795
CF,81.75,355.94385171592205,335.4053231999047
CVX,154.97250366210938,3725.918143582364,2304.244659882427
CI,299.4750061035156,328.91483951852126,9.830480946656882
CFG,46.38999938964844,(322107.63262899517-579089.998529796j),(694247.1370272769-1248307.8382169916j)
CAG,25.06999969482422,(92.35851784637985-197.26487170389285j),(268.4025487461317-786.8562987841552j)
COP,97.18000030517578,72586.63844007863,74592.98025533417
CTRA,27.729999542236328,346.6674322455252,1150.153039914431
DVA,153.66000366210938,167.13058612710046,8.766485841437447
DAL,64.20320129394531,115014.93652890621,179042.0586682688
DVN,34.54499816894531,765.5666422995474,2116.143241795751
FANG,157.2061004638672,2256.7618720142773,1335.543446059194
DFS,191.8000030517578,397.0336099553157,107.00396435769343
DHI,130.60000610351562,1004.5758391451906,669.2004534432778
EOG,129.75,403.57308580177573,211.038987130463
XOM,108.79000091552734,(1158.119694895014-2318.601760152601j),(964.5460843356957-2131.2636645282646j)
FITB,43.95000076293945,417162.76427220576,949075.7839148333
GEN,28.010000228881836,118.89766509839028,324.4829136980578
GL,123.66999816894531,130.79299792406127,5.759682914675265
HAL,26.475000381469727,64.47546609975113,143.5333906354862
HIG,112.13999938964844,116.46340449943172,3.855363949807878
HBAN,16.764999389648438,37.620487373537195,124.39897848589243
IVZ,18.3799991607666,19.967830921670096,8.638910954320568
KEY,17.65999984741211,40.58495977308607,129.812911233028
LYB,77.80500030517578,270.58115316643637,247.76833378977142
MTB,198.4199981689453,2360.000600223632,1089.396543696267
MPC,156.3350067138672,(1637.622375408614-3435.7630136405483j),(947.5084306651032-2197.692689474769j)
MRK,84.70500183105469,126.0818820477872,48.84821359104541
TAP,59.834999084472656,77.44566166454284,29.43204286709883
MOS,26.46500015258789,86.42591170477768,226.5668286660731
NTRS,111.93000030517578,128.46267223454075,14.770545773509191
NUE,136.125,1330.107769960055,877.1223287126209
OXY,48.630001068115234,1052.9430883425325,2065.212965691061
OMC,82.20999908447266,83.81236111856794,1.9491084441550903
PCAR,105.69499969482422,128.21042431002456,21.302260920771737
PYPL,76.69999694824219,81.99772402862784,6.907075998921626
PSX,126.94000244140625,(410.25876431443044-865.5928960231932j),(223.19107958407375-681.8913497522099j)
PFG,86.97000122070312,127.99473794665755,47.1711350467229
PHM,107.9800033569336,121.61838472501249,12.63046947960958
STLD,133.94500732421875,(967.2206980277834-1980.957826121882j),(622.1028370893964-1478.933680093728j)
SMCI,44.584999084472656,(77.58832276564239-159.42557180294176j),(74.02338086547948-357.57670758473546j)
VLO,132.88999938964844,(2539.6284983912656-5163.3777723141j),(1811.0757092749989-3885.452476506148j)
VTRS,10.8818998336792,123.19474681221796,1032.1069730023924
VICI,30.725000381469727,57.55404711518544,87.319923191592
WRB,61.1349983215332,134.83747285381648,120.55692574759343
